timestamp,location,vehicle_count,weather,average_speed_kmph
1636527268,Location_A,54,Cloudy,42.85
1636527268,Location_B,422,Snowy,84.93
1636527268,Location_C,224,Snowy,53.87
1636527268,Location_D,39,Snowy,49.19
1636527268,Location_E,372,Rainy,96.71
1686120619,Location_A,242,Cloudy,96.82
1686120619,Location_B,198,Cloudy,51.52
1686120619,Location_C,493,Snowy,81.75
1686120619,Location_D,60,Snowy,30.08
1686120619,Location_E,208,Snowy,77.95
1665623830,Location_A,223,Rainy,59.81
1665623830,Location_B,179,Snowy,92.47
1665623830,Location_C,475,Cloudy,29.7
1665623830,Location_D,144,Snowy,84.68
1665623830,Location_E,311,Foggy,64.19
1671016098,Location_A,266,Snowy,34.21
1671016098,Location_B,371,Sunny,61.25
1671016098,Location_C,474,Sunny,37.19
1671016098,Location_D,469,Rainy,51.13
1671016098,Location_E,473,Rainy,83.04
1690809950,Location_A,224,Foggy,32.21
1690809950,Location_B,46,Rainy,43.61
1690809950,Location_C,299,Snowy,64.45
1690809950,Location_D,324,Rainy,58.51
1690809950,Location_E,71,Sunny,85.7
1663017201,Location_A,417,Snowy,44.41
1663017201,Location_B,453,Rainy,52.53
1663017201,Location_C,164,Cloudy,41.16
1663017201,Location_D,71,Rainy,45.84
1663017201,Location_E,432,Rainy,86.74
1690391984,Location_A,166,Snowy,27.21
1690391984,Location_B,411,Sunny,88.63
1690391984,Location_C,91,Rainy,71.44
1690391984,Location_D,403,Rainy,44.24
1690391984,Location_E,298,Sunny,90.26
1659903364,Location_A,209,Snowy,94.64
1659903364,Location_B,168,Snowy,25.65
1659903364,Location_C,273,Cloudy,97.36
1659903364,Location_D,401,Sunny,23.18
1659903364,Location_E,178,Sunny,44.57
1688819556,Location_A,374,Rainy,44.64
1688819556,Location_B,365,Rainy,84.78
1688819556,Location_C,397,Foggy,78.08
1688819556,Location_D,376,Snowy,48.7
1688819556,Location_E,392,Foggy,70.64
1691162514,Location_A,242,Foggy,59.38
1691162514,Location_B,189,Sunny,25.96
1691162514,Location_C,33,Cloudy,97.41
1691162514,Location_D,443,Cloudy,69.93
1691162514,Location_E,357,Cloudy,89.35
1628367177,Location_A,392,Snowy,27.98
1628367177,Location_B,90,Foggy,67.68
1628367177,Location_C,414,Snowy,87.47
1628367177,Location_D,461,Rainy,72.23
1628367177,Location_E,345,Cloudy,81.99
1692535700,Location_A,71,Cloudy,27.08
1692535700,Location_B,426,Snowy,65.96
1692535700,Location_C,4,Cloudy,82.99
1692535700,Location_D,417,Rainy,64.83
1692535700,Location_E,465,Snowy,70.33
1674688663,Location_A,481,Sunny,78.38
1674688663,Location_B,387,Foggy,34.27
1674688663,Location_C,187,Cloudy,52.15
1674688663,Location_D,63,Foggy,93.96
1674688663,Location_E,196,Sunny,60.13
1654697464,Location_A,318,Snowy,87.76
1654697464,Location_B,21,Snowy,60.47
1654697464,Location_C,242,Sunny,65.06
1654697464,Location_D,278,Cloudy,72.53
1654697464,Location_E,41,Foggy,91.86
1647089277,Location_A,350,Snowy,43.72
1647089277,Location_B,407,Rainy,27.31
1647089277,Location_C,263,Sunny,26.52
1647089277,Location_D,141,Cloudy,61.68
1647089277,Location_E,343,Cloudy,82.73
1671060364,Location_A,31,Foggy,99.11
1671060364,Location_B,133,Rainy,46.25
1671060364,Location_C,391,Sunny,80.13
1671060364,Location_D,156,Snowy,21.45
1671060364,Location_E,70,Cloudy,72.59
1657647417,Location_A,153,Cloudy,97.09
1657647417,Location_B,337,Sunny,61.89
1657647417,Location_C,394,Rainy,85.92
1657647417,Location_D,192,Sunny,30.61
1657647417,Location_E,84,Sunny,72.97
1667311568,Location_A,430,Rainy,68.88
1667311568,Location_B,462,Snowy,68.44
1667311568,Location_C,53,Rainy,35.86
1667311568,Location_D,184,Snowy,58.84
1667311568,Location_E,30,Rainy,92.15
1612979108,Location_A,13,Cloudy,84.89
1612979108,Location_B,93,Sunny,56.13
1612979108,Location_C,424,Cloudy,42.7
1612979108,Location_D,245,Cloudy,95.42
1612979108,Location_E,450,Sunny,27.55
1641487604,Location_A,261,Foggy,45.66
1641487604,Location_B,477,Snowy,83.29
1641487604,Location_C,96,Rainy,89.53
1641487604,Location_D,209,Foggy,83.15
1641487604,Location_E,251,Sunny,95.54
